"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-01","2024","01","01","","-1.7","","-5.4","","-3.6","","21.6","","0.0","","","","","","0.4","","","","29","","40",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-02","2024","01","02","","0.3","","-6.1","","-2.9","","20.9","","0.0","","","","","","0.0","","","","27","","34",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-03","2024","01","03","","-0.5","","-4.8","","-2.7","","20.7","","0.0","","","","","","0.0","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-04","2024","01","04","","0.6","","-2.2","","-0.8","","18.8","","0.0","","","","","","0.8","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-05","2024","01","05","","-0.5","","-9.8","","-5.1","","23.1","","0.0","","","","","","0.4","","1","","29","","68",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-06","2024","01","06","","-5.3","","-10.7","","-8.0","","26.0","","0.0","","","","","","0.0","","1","","29","","70",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-07","2024","01","07","","-1.7","","-10.0","","-5.9","","23.9","","0.0","","","","","","0.0","","1","","4","","56",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-08","2024","01","08","","-2.1","","-4.6","","-3.3","","21.3","","0.0","","","","","","0.0","","","","31","","61",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-09","2024","01","09","","-3.3","","-9.0","","-6.1","","24.1","","0.0","","","","","","0.0","","","","30","","63",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-10","2024","01","10","","6.6","","-8.4","","-0.9","","18.9","","0.0","","","","","","3.6","","","","12","","90",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-11","2024","01","11","","6.6","","-0.2","","3.2","","14.8","","0.0","","","","","","0.0","","","","30","","34",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-12","2024","01","12","","-0.2","","-4.5","","-2.3","","20.3","","0.0","","","","","","0.2","","","","29","","57",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-13","2024","01","13","","6.4","","-7.1","","-0.4","","18.4","","0.0","","","","","","0.0","","","","13","","96",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-14","2024","01","14","","7.5","","-0.6","","3.4","","14.6","","0.0","","","","","","0.3","","","","15","","67",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-15","2024","01","15","","0.8","","-4.8","","-2.0","","20.0","","0.0","","","","","","0.0","","","","29","","58",""
